~~~ NIWA TIDEDA ~~~ JPS 
~~~ LIST ~~~
Source is Site at FWPP0002 
1 Item INCREMENTAL From 09/01/2020 to 09/05/2020 
	Rain	Date		Time
	5	200903		180257 
	5	200903		170126 
	5	200903		170109 
	5	200903		170054 
	5	200903		170026 
	5	200903		170009 
	5	200903		165952 
	5	200903		165936 
	5	200903		165921 
	5	200903		165849 
	5	200903		165829 
	5	200903		165814 
	5	200903		165752 
	5	200903		165718 
	5	200903		165648 
	5	200903		170139 
	5	200903		170151 
	5	200903		170204 
	5	200903		171207 
	5	200903		170737 
	5	200903		170713 
	5	200903		170634 
	5	200903		170608 
	5	200903		170542 
	5	200903		170512 
	5	200903		170455 
	5	200903		170423 
	5	200903		170336 
	5	200903		170317 
	5	200903		170300 
	5	200903		170239 
	5	200903		170216 
	5	200903		165524 
	5	200903		151104 
	5	200903		150940 
	5	200903		151012 
	5	200903		151010 
	5	200903		151007 
	5	200903		151005 
	5	200903		151003 
	5	200903		151000 
	5	200903		150958 
	5	200903		150956 
	5	200903		150953 
	5	200903		150951 
	5	200903		150949 
	5	200903		150946 
	5	200903		150944 
	5	200903		150942 
	5	200903		151015 
	5	200903		151017 
	5	200903		151019 
	5	200903		151100 
	5	200903		151057 
	5	200903		151054 
	5	200903		151051 
	5	200903		151048 
	5	200903		151045 
	5	200903		151042 
	5	200903		151040 
	5	200903		151037 
	5	200903		151022 
	5	200903		151024 
	5	200903		151027 
	5	200903		151029 
	5	200903		151032 
	5	200903		151034 
	5	200904		161143 
	5	200904		161021 
	5	200904		160910 
	5	200904		160715 
	5	200904		160542 
	5	200904		160503 
	5	200904		161301 
	5	200904		161344 
	5	200904		161436 
	5	200904		161457 
	5	200904		161530 
	5	200904		161548 
	5	200904		161616 
	5	200904		161631 
	5	200904		160411 
	5	200904		160342 
	5	200904		155633 
	5	200904		155702 
	5	200904		155726 
	5	200904		155803 
	5	200904		155825 
	5	200904		155901 
	5	200904		155925 
	5	200904		160013 
	5	200904		160033 
	5	200904		160116 
	5	200904		160142 
	5	200904		160230 
	5	200904		160255 
	5	200904		155548 
	5	200904		161650 
	5	200904		161724 
	5	200904		163207 
	5	200904		163457 
	5	200904		163753 
	5	200904		164022 
	5	200904		164107 
	5	200904		164219 
	5	200904		164409 
	5	200904		164802 
	5	200904		173618 
	5	200904		175056 
	5	200904		182646 
	5	200904		190548 
	5	200904		194720 
	5	200904		163106 
	5	200904		162928 
	5	200904		161745 
	5	200904		161832 
	5	200904		161852 
	5	200904		161930 
	5	200904		161955 
	5	200904		162048 
	5	200904		162115 
	5	200904		162203 
	5	200904		162302 
	5	200904		162356 
	5	200904		162435 
	5	200904		162555 
	5	200904		162733 
	5	200904		201245 
	5	200904		152414 
	5	200904		153001 
	5	200904		153039 
	5	200904		153058 
	5	200904		153116 
	5	200904		153134 
	5	200904		153208 
	5	200904		153228 
	5	200904		153315 
	5	200904		153345 
	5	200904		153438 
	5	200904		153505 
	5	200904		153605 
	5	200904		153634 
	5	200904		152940 
	5	200904		152905 
	5	200904		152434 
	5	200904		152453 
	5	200904		152510 
	5	200904		152524 
	5	200904		152538 
	5	200904		152604 
	5	200904		152620 
	5	200904		152637 
	5	200904		152710 
	5	200904		152728 
	5	200904		152749 
	5	200904		152826 
	5	200904		152846 
	5	200904		153708 
	5	200904		153746 
	5	200904		153807 
	5	200904		154457 
	5	200904		154519 
	5	200904		154600 
	5	200904		154625 
	5	200904		154726 
	5	200904		154750 
	5	200904		154844 
	5	200904		154924 
	5	200904		155049 
	5	200904		155219 
	5	200904		155255 
	5	200904		155401 
	5	200904		155428 
	5	200904		154438 
	5	200904		154354 
	5	200904		153851 
	5	200904		153909 
	5	200904		153930 
	5	200904		154002 
	5	200904		154021 
	5	200904		154055 
	5	200904		154115 
	5	200904		154135 
	5	200904		154207 
	5	200904		154228 
	5	200904		154245 
	5	200904		154315 
	5	200904		154334 
	5	200904		155522 
