~~~ NIWA TIDEDA ~~~ JPS 
~~~ LIST ~~~
Source is Site at FWPP0002 
1 Item INCREMENTAL From 06/15/2020 to 06/15/2020 
	Rain	Date		Time
	5	200615		115844 
	5	200615		120036 
	5	200615		120043 
	5	200615		120050 
	5	200615		120057 
	5	200615		120104 
	5	200615		120111 
	5	200615		120118 
	5	200615		120125 
	5	200615		120132 
	5	200615		120139 
	5	200615		120146 
	5	200615		120153 
	5	200615		120029 
	5	200615		120022 
	5	200615		120015 
	5	200615		115851 
	5	200615		115858 
	5	200615		115905 
	5	200615		115912 
	5	200615		115919 
	5	200615		115926 
	5	200615		115933 
	5	200615		115940 
	5	200615		115947 
	5	200615		115954 
	5	200615		120001 
	5	200615		120008 
	5	200615		120200 
	5	200615		120207 
	5	200615		120359 
	5	200615		120406 
	5	200615		120413 
	5	200615		120420 
	5	200615		120427 
	5	200615		120434 
	5	200615		120441 
	5	200615		120448 
	5	200615		120455 
	5	200615		120502 
	5	200615		120509 
	5	200615		120516 
	5	200615		120352 
	5	200615		120345 
	5	200615		120338 
	5	200615		120214 
	5	200615		120221 
	5	200615		120228 
	5	200615		120235 
	5	200615		120242 
	5	200615		120249 
	5	200615		120256 
	5	200615		120303 
	5	200615		120310 
	5	200615		120317 
	5	200615		120324 
	5	200615		120331 
	5	200615		120523 
	5	200615		115837 
	5	200615		115151 
	5	200615		115343 
	5	200615		115350 
	5	200615		115357 
	5	200615		115404 
	5	200615		115411 
	5	200615		115419 
	5	200615		115425 
	5	200615		115432 
	5	200615		115439 
	5	200615		115446 
	5	200615		115453 
	5	200615		115500 
	5	200615		115336 
	5	200615		115329 
	5	200615		115322 
	5	200615		115158 
	5	200615		115205 
	5	200615		115212 
	5	200615		115219 
	5	200615		115226 
	5	200615		115233 
	5	200615		115240 
	5	200615		115247 
	5	200615		115254 
	5	200615		115301 
	5	200615		115308 
	5	200615		115315 
	5	200615		115507 
	5	200615		115514 
	5	200615		115706 
	5	200615		115713 
	5	200615		115720 
	5	200615		115727 
	5	200615		115734 
	5	200615		115741 
	5	200615		115748 
	5	200615		115755 
	5	200615		115802 
	5	200615		115809 
	5	200615		115816 
	5	200615		115823 
	5	200615		115659 
	5	200615		115652 
	5	200615		115645 
	5	200615		115521 
	5	200615		115528 
	5	200615		115535 
	5	200615		115542 
	5	200615		115549 
	5	200615		115556 
	5	200615		115603 
	5	200615		115610 
	5	200615		115617 
	5	200615		115624 
	5	200615		115631 
	5	200615		115638 
	5	200615		115830 
	5	200615		121223 
	5	200615		121415 
	5	200615		121422 
	5	200615		121429 
	5	200615		121436 
	5	200615		121443 
	5	200615		121450 
	5	200615		121457 
	5	200615		121504 
	5	200615		121511 
	5	200615		121518 
	5	200615		121525 
	5	200615		121532 
	5	200615		121408 
	5	200615		121401 
	5	200615		121354 
	5	200615		121230 
	5	200615		121237 
	5	200615		121244 
	5	200615		121251 
	5	200615		121258 
	5	200615		121305 
	5	200615		121312 
	5	200615		121319 
	5	200615		121326 
	5	200615		121333 
	5	200615		121340 
	5	200615		121347 
	5	200615		121539 
	5	200615		121546 
	5	200615		121738 
	5	200615		121745 
	5	200615		121752 
	5	200615		121759 
	5	200615		121806 
	5	200615		121813 
	5	200615		121820 
	5	200615		121827 
	5	200615		121834 
	5	200615		121841 
	5	200615		121848 
	5	200615		121855 
	5	200615		121731 
	5	200615		121724 
	5	200615		121717 
	5	200615		121553 
	5	200615		121600 
	5	200615		121607 
	5	200615		121614 
	5	200615		121621 
	5	200615		121628 
	5	200615		121635 
	5	200615		121642 
	5	200615		121649 
	5	200615		121656 
	5	200615		121703 
	5	200615		121710 
	5	200615		121902 
	5	200615		121216 
	5	200615		120530 
	5	200615		120722 
	5	200615		120729 
	5	200615		120736 
	5	200615		120743 
	5	200615		120750 
	5	200615		120757 
	5	200615		120804 
	5	200615		120811 
	5	200615		120818 
	5	200615		120825 
	5	200615		120832 
	5	200615		120839 
	5	200615		120715 
	5	200615		120708 
	5	200615		120701 
	5	200615		120537 
	5	200615		120544 
	5	200615		120551 
	5	200615		120558 
	5	200615		120605 
	5	200615		120612 
	5	200615		120619 
	5	200615		120626 
	5	200615		120633 
	5	200615		120640 
	5	200615		120647 
	5	200615		120654 
	5	200615		120846 
	5	200615		120853 
	5	200615		121045 
	5	200615		121052 
	5	200615		121059 
	5	200615		121106 
	5	200615		121113 
	5	200615		121120 
	5	200615		121127 
	5	200615		121134 
	5	200615		121141 
	5	200615		121148 
	5	200615		121155 
	5	200615		121202 
	5	200615		121038 
	5	200615		121031 
	5	200615		121024 
	5	200615		120900 
	5	200615		120907 
	5	200615		120914 
	5	200615		120921 
	5	200615		120928 
	5	200615		120935 
	5	200615		120942 
	5	200615		120949 
	5	200615		120956 
	5	200615		121003 
	5	200615		121010 
	5	200615		121017 
	5	200615		121209 
	5	200615		115144 
	5	200615		113119 
	5	200615		113311 
	5	200615		113318 
	5	200615		113325 
	5	200615		113332 
	5	200615		113339 
	5	200615		113346 
	5	200615		113353 
	5	200615		113400 
	5	200615		113407 
	5	200615		113414 
	5	200615		113421 
	5	200615		113428 
	5	200615		113304 
	5	200615		113257 
	5	200615		113250 
