~~~ NIWA TIDEDA ~~~ JPS 
~~~ LIST ~~~
Source is Site at FWPP0002 
1 Item INCREMENTAL From 12/01/2020 to 12/10/2020 
	Rain	Date		Time
	5	201201		050549 
	5	201201		064522 
	5	201201		063402 
	5	201201		061032 
	5	201201		053913 
	5	201201		051042 
	5	201201		050853 
	5	201201		050820 
	5	201201		050725 
	5	201203		082341 
	5	201203		074440 
	5	201203		072905 
	5	201203		072058 
	5	201203		071610 
	5	201203		071137 
	5	201203		070537 
	5	201203		065659 
	5	201203		065250 
	5	201203		065154 
	5	201203		065040 
	5	201205		164220 
